Nome,Tipo,ID,Caminho Completo
Governança Corporativa - Empresas Familiares,Pasta,1_BobzIi3wa7t--7TDHFjcwN2mId8ylEH,Governança Corporativa - Empresas Familiares
Multinegócios,Pasta,1hjg049JQHWTvTIM33ESFQ98nthT00Ra4,Governança Corporativa - Empresas Familiares/Multinegócios
Grupo VDA,Pasta,1XPbSXGdpBDCnmNFXtBkWtHVqcU-XoI9u,Governança Corporativa - Empresas Familiares/Multinegócios/Grupo VDA
GrupoVDA_Regimento_EstruturaGovernançaCorporativa_REV01.pdf,Arquivo,1iCA6TM1fQ9rEId6KPl-AaRSR1Ddv-ia3,Governança Corporativa - Empresas Familiares/Multinegócios/Grupo VDA/GrupoVDA_Regimento_EstruturaGovernançaCorporativa_REV01.pdf
GRUPOVDA_Código de Ética e Conduta_REV01.pdf,Arquivo,1NUiNjrqtlmg5zUebykvSvgCc_DoTazZH,Governança Corporativa - Empresas Familiares/Multinegócios/Grupo VDA/GRUPOVDA_Código de Ética e Conduta_REV01.pdf
GRUPO VDA_ Política de Remuneração e Benefícios Diretoria_REV02.pdf,Arquivo,1jQ9LUIrUQVMt-IKlzj_yAVSZpzYmTyqT,Governança Corporativa - Empresas Familiares/Multinegócios/Grupo VDA/GRUPO VDA_ Política de Remuneração e Benefícios Diretoria_REV02.pdf
Grupo VDA_ Acordo Societário_Rev01.pdf,Arquivo,1oJQhq-1UYm503DgJQv61s5urskgCmBxL,Governança Corporativa - Empresas Familiares/Multinegócios/Grupo VDA/Grupo VDA_ Acordo Societário_Rev01.pdf
Grupo Rovema,Pasta,1urvhbL_v4bOaUyTnPP6a7KSq-UGQrVc-,Governança Corporativa - Empresas Familiares/Multinegócios/Grupo Rovema
Rovema_ProtocolodeRegrasFamiliaresEmpresa.pdf,Arquivo,1rGnh0HTcxLTuWT0qJ58N3xEvEKsNGK8b,Governança Corporativa - Empresas Familiares/Multinegócios/Grupo Rovema/Rovema_ProtocolodeRegrasFamiliaresEmpresa.pdf
ROVEMA_PolíticaRemuneração_AGO18_VER00.pdf,Arquivo,14wUdiDCo6e1mSKfM-B0MxJYuvDEjO9BW,Governança Corporativa - Empresas Familiares/Multinegócios/Grupo Rovema/ROVEMA_PolíticaRemuneração_AGO18_VER00.pdf
Indústria,Pasta,1HsjWdmWNbNC5udYshGL0g73Q22l1OWyZ,Governança Corporativa - Empresas Familiares/Indústria
Eternal,Pasta,1mX_Ax6NiGTCwmJQl8p3ljgTgBbFDVIPN,Governança Corporativa - Empresas Familiares/Indústria/Eternal
Eternal_Código de Ética e Conduta.pdf,Arquivo,1kA6rCbXnQfmjxubj98b1naAf0kFThUcu,Governança Corporativa - Empresas Familiares/Indústria/Eternal/Eternal_Código de Ética e Conduta.pdf
Eternal_AcordoSocietário.pdf,Arquivo,1Irz0in8B059a3BkBV2JUOXQtThG-NsOH,Governança Corporativa - Empresas Familiares/Indústria/Eternal/Eternal_AcordoSocietário.pdf
CAIBA,Pasta,1ywgjXUHEQdcYV1zfrqdWiTPAvNpOqHMc,Governança Corporativa - Empresas Familiares/Indústria/CAIBA
CAIBA_CódigodeÉtica_VER00_DEZ23.pdf,Arquivo,1R2yImheKLqN3gjODEnBLZCTWHWX-cOeJ,Governança Corporativa - Empresas Familiares/Indústria/CAIBA/CAIBA_CódigodeÉtica_VER00_DEZ23.pdf
CAIBA_Protocolo_RelaçãoEmpresaFamília_FINAL_REV03-DEZ23.pdf,Arquivo,1u2IElpEnPe1TbZZrdE3V6GPBXR1NXc2m,Governança Corporativa - Empresas Familiares/Indústria/CAIBA/CAIBA_Protocolo_RelaçãoEmpresaFamília_FINAL_REV03-DEZ23.pdf
CAIBA_PolíticaRemuneração_FINAL_REV03_DEZ23.pdf,Arquivo,1wycp2UW110RKkiDIQVZ8iBBPV883ECx3,Governança Corporativa - Empresas Familiares/Indústria/CAIBA/CAIBA_PolíticaRemuneração_FINAL_REV03_DEZ23.pdf
CAIBA_RegimentoGovernançaCorporativa_FINAL_REV03-DEZ23.pdf,Arquivo,1uyev8mhiieGYp6-FhE8TK1rvCYsPySrX,Governança Corporativa - Empresas Familiares/Indústria/CAIBA/CAIBA_RegimentoGovernançaCorporativa_FINAL_REV03-DEZ23.pdf
Serviços Educacionais,Pasta,12FGabx40Gnp5I7T7Y0p0SaXc2ttkoIDF,Governança Corporativa - Empresas Familiares/Serviços Educacionais
Denizard Rivail,Pasta,1MdiHrZdsAP_6TEk446KWzbCFE1Yjk1bQ,Governança Corporativa - Empresas Familiares/Serviços Educacionais/Denizard Rivail
Denizard_PolíticaRemuneraçãoBenefícios_JUN21_DenizardRivail.pdf,Arquivo,1murOHa2M9Rn71FLBhULoP7uzk43p1l8W,Governança Corporativa - Empresas Familiares/Serviços Educacionais/Denizard Rivail/Denizard_PolíticaRemuneraçãoBenefícios_JUN21_DenizardRivail.pdf
Denizard_MVL_AcordoSócios_Minuta_JUNHO2022.pdf,Arquivo,1KA5UOj6_DAmjkdv0P63rBmyZ6qa8mxku,Governança Corporativa - Empresas Familiares/Serviços Educacionais/Denizard Rivail/Denizard_MVL_AcordoSócios_Minuta_JUNHO2022.pdf
Denizard_MVL_RegimentoGC_Minuta_JUNHO2022.pdf,Arquivo,1f27r-9XmounyRWgHHzKMHc84MMaK9lCa,Governança Corporativa - Empresas Familiares/Serviços Educacionais/Denizard Rivail/Denizard_MVL_RegimentoGC_Minuta_JUNHO2022.pdf
Denizard Rivail_CódigodeÉtica_AEDRIA_Versão01_Jul21.pdf,Arquivo,1r2eClVUBg3bGcM3j-hZB4YuVtUBYA3rz,Governança Corporativa - Empresas Familiares/Serviços Educacionais/Denizard Rivail/Denizard Rivail_CódigodeÉtica_AEDRIA_Versão01_Jul21.pdf
DenizardRivail_DesenhoProposto_110521.pdf,Arquivo,1nEp5PhVOgT7p4dwcDOm6ohLuaj6qW6he,Governança Corporativa - Empresas Familiares/Serviços Educacionais/Denizard Rivail/DenizardRivail_DesenhoProposto_110521.pdf
Construção Civil,Pasta,1IBovplkR6o_xB6ajILAEVnFWmTTRTxu5,Governança Corporativa - Empresas Familiares/Construção Civil
Unipar,Pasta,1ZDBh_-2niseuVDJ2jBAWCPAL9xVbFdpn,Governança Corporativa - Empresas Familiares/Construção Civil/Unipar
UNIPAR_Protocolo_RelaçãoEmpresaFamília_REV03_MARÇO25.pdf,Arquivo,1u1J7U3BKZd2X2UOTKRdVQgPdov5HqHRM,Governança Corporativa - Empresas Familiares/Construção Civil/Unipar/UNIPAR_Protocolo_RelaçãoEmpresaFamília_REV03_MARÇO25.pdf
UNIPAR_PolíticaRemuneração_Empresa_REV03_MARÇO25.pdf,Arquivo,14FcdsEt_KxEwZtk1STKRsIGOJQucaySc,Governança Corporativa - Empresas Familiares/Construção Civil/Unipar/UNIPAR_PolíticaRemuneração_Empresa_REV03_MARÇO25.pdf
UNIPAR_CódigoÉtica_REV03_MAR25.pdf,Arquivo,1jE3Wmm9rVTfLNRbAjijc7uLAiMk4nkrn,Governança Corporativa - Empresas Familiares/Construção Civil/Unipar/UNIPAR_CódigoÉtica_REV03_MAR25.pdf
Cristal Engenharia,Pasta,1OvYahMwEK2s6vxULj8SKUox4t1pMJoS9,Governança Corporativa - Empresas Familiares/Construção Civil/Cristal Engenharia
2-Cristal_AcordoSócios.pdf,Arquivo,1FEKgnGUDPRf51n4U5PLnOb7jjWYLyl2A,Governança Corporativa - Empresas Familiares/Construção Civil/Cristal Engenharia/2-Cristal_AcordoSócios.pdf
4-Cristal_PolíticadeRemuneraçãoeBenefícios.pdf,Arquivo,1WjGHJJVs2UO9eVeSiQTmnmKUnuQX-q32,Governança Corporativa - Empresas Familiares/Construção Civil/Cristal Engenharia/4-Cristal_PolíticadeRemuneraçãoeBenefícios.pdf
3_Cristal_CódigodeÉticaeConduta.pdf,Arquivo,1G4KUtF5tywQDDTZwzm4ZuN4BT389LG4H,Governança Corporativa - Empresas Familiares/Construção Civil/Cristal Engenharia/3_Cristal_CódigodeÉticaeConduta.pdf
1_Cristal_Regimento_EstruturaGC.pdf,Arquivo,1iTIwCEHi14H9T99xHntbx_iLW8av0FRN,Governança Corporativa - Empresas Familiares/Construção Civil/Cristal Engenharia/1_Cristal_Regimento_EstruturaGC.pdf
Navegação,Pasta,1SfaK7Lp9l7Sk1cpwtCILdZCq2NANNIFe,Governança Corporativa - Empresas Familiares/Navegação
WPL Navegação,Pasta,16m1-op7pfXF8ToQQ_q2IBS2RE-5T1B6C,Governança Corporativa - Empresas Familiares/Navegação/WPL Navegação
WPL_Regimento_EstruturaGC_SET2016.pdf,Arquivo,1Z8zy3sq2EvGgR3YQR6t7HnAbAsZftcGU,Governança Corporativa - Empresas Familiares/Navegação/WPL Navegação/WPL_Regimento_EstruturaGC_SET2016.pdf
WPL_PolíticadeRemuneraçãoeBenefícios_SET16.pdf,Arquivo,1sR2XO05SREyYM7nwjqk-PpDhJ_RHyNE1,Governança Corporativa - Empresas Familiares/Navegação/WPL Navegação/WPL_PolíticadeRemuneraçãoeBenefícios_SET16.pdf
WPL_CódigodeÉticaeConduta_SET16.pdf,Arquivo,1txEBaIJ1ibVSlnAEyuwYcXsXAbOgIuqA,Governança Corporativa - Empresas Familiares/Navegação/WPL Navegação/WPL_CódigodeÉticaeConduta_SET16.pdf
Navegrãos,Pasta,1KJnWb6aPT-o0A4-JrtNMBdObh9hkuLrn,Governança Corporativa - Empresas Familiares/Navegação/Navegrãos
Relatório de GC_Navegrãos_Agosto2019.pdf,Arquivo,1flsR-LnaRmAU6WQHmTkbHe9sivglvtHg,Governança Corporativa - Empresas Familiares/Navegação/Navegrãos/Relatório de GC_Navegrãos_Agosto2019.pdf
Serviços A&B,Pasta,1wZGcSj24SyaT-yA56zi8D5dFHuX38w12,Governança Corporativa - Empresas Familiares/Serviços A&B
Grupo Dedé,Pasta,1np_2W_lug9A7BOIRkNJIS6nMm-tm5Ne6,Governança Corporativa - Empresas Familiares/Serviços A&B/Grupo Dedé
GrupoDedé_CódigoÉtica&CondutaGC_V03_OUT19.pdf,Arquivo,1p9yoUF0tC2BnC_5oNM9gu9mWuLjEX83b,Governança Corporativa - Empresas Familiares/Serviços A&B/Grupo Dedé/GrupoDedé_CódigoÉtica&CondutaGC_V03_OUT19.pdf
GrupoDedé_PolíticaRemuneraçãoBenefícios_V03_OUT19_.pdf,Arquivo,1wBGCdaN_7HwONbjbqog_fi3-rvH36LiC,Governança Corporativa - Empresas Familiares/Serviços A&B/Grupo Dedé/GrupoDedé_PolíticaRemuneraçãoBenefícios_V03_OUT19_.pdf
GrupoDedé_RegimentoInternodeGC_V03_OUT19.pdf,Arquivo,1Gz513hQiWdryqATs7zVP8MogqMY1l72L,Governança Corporativa - Empresas Familiares/Serviços A&B/Grupo Dedé/GrupoDedé_RegimentoInternodeGC_V03_OUT19.pdf
GRUPODEDÉ_AcordoSócios_JAN19_VER02.pdf,Arquivo,1px3ajlaoAA02TgMxnaOOWhwbjEX5LL2S,Governança Corporativa - Empresas Familiares/Serviços A&B/Grupo Dedé/GRUPODEDÉ_AcordoSócios_JAN19_VER02.pdf
Energia Petróleo e Gás,Pasta,1ReEaZYYU_CKhkDeUyZtqxSD11GL57nxj,Governança Corporativa - Empresas Familiares/Energia Petróleo e Gás
ATEM,Pasta,1aK1gmnV91cApneXQmNc0sO6nAoIr2fEs,Governança Corporativa - Empresas Familiares/Energia Petróleo e Gás/ATEM
ATEM_REGIMENTO DA ESTRUTURA DE GOVERNANÇA CORPORATIVA.pdf,Arquivo,11iEj8CUULtkj3SS0xF-onuum1vneWU6N,Governança Corporativa - Empresas Familiares/Energia Petróleo e Gás/ATEM/ATEM_REGIMENTO DA ESTRUTURA DE GOVERNANÇA CORPORATIVA.pdf
ATEM_AcordodeAcionistas_Fev18_VER00.pdf,Arquivo,1FiNb2AjyR7PkDmsdiZmIrwmCIxvzPjY7,Governança Corporativa - Empresas Familiares/Energia Petróleo e Gás/ATEM/ATEM_AcordodeAcionistas_Fev18_VER00.pdf
ATEM_PolíticadeRemuneraçãoeBenefícios_FEV18_VER00.pdf,Arquivo,12UZ8SXi9JOggYfWKUSXSoA4-_ZC84KcG,Governança Corporativa - Empresas Familiares/Energia Petróleo e Gás/ATEM/ATEM_PolíticadeRemuneraçãoeBenefícios_FEV18_VER00.pdf
